Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
6,382.070064191253,21,297.2796488839663,213,5713.161768317288,0.17154239232988644,0.10979226676829074,53.48396749122561,0.3843282201752908,Feb,3,10,1,19,Other,True,True
19,96.06063840880567,9,115.13543112368939,91,1395.9885034441556,0.06749530087916755,0.11340695921407816,36.45260662136125,0.4277225158325204,Jul,4,8,1,8,Returning_Visitor,False,False
28,129.40984549481516,14,189.31456305860564,543,2981.3264574505515,0.09725089029486285,0.1987562935913486,70.62515461284416,0.5028338286310906,Sep,5,7,8,8,Returning_Visitor,True,True
14,73.52515579272598,5,233.72737612908375,604,4277.090252086684,0.09116497508969588,0.1767602533861925,31.810430355557173,0.4618387141683087,Mar,7,11,2,3,Returning_Visitor,False,True
10,230.77444933793586,8,117.79352455086249,231,7869.667248155887,0.04984479497196386,0.08148655806641324,231.18363273256568,0.6608607896879853,Sep,4,6,2,7,New_Visitor,True,True
7,61.93655785898198,9,48.54424214934219,642,6393.72472188507,0.08422231181099074,0.1517790961293084,386.0891721062494,0.8500520667016824,Dec,1,9,1,20,New_Visitor,True,True
28,142.47757738455178,22,130.12882313776836,12,1540.95815844856,0.004316902164574077,0.05305475882485851,309.40713782103654,0.631897988152098,June,4,10,3,20,Other,True,True
20,278.80520557370517,16,231.56629350088338,532,2819.2523235547046,0.10348640429616102,0.01037396449221728,298.1032186188142,0.38736025726080014,Mar,2,9,6,11,Returning_Visitor,False,True
6,224.04639320373937,0,234.22882882452092,444,1735.1863426397313,0.1441585497368696,0.004431513641546903,332.031009476537,0.7727642894470732,Apr,3,4,4,18,Returning_Visitor,True,True
25,154.58502573117408,13,69.161637651274,502,1218.0727129364843,0.07352228415220115,0.10778857909477071,360.47639385953187,0.6844567589840777,Oct,2,6,6,17,New_Visitor,True,True
18,168.09984072301677,3,52.48969196722396,525,959.84072775879,0.1493148359836767,0.0999435450453976,121.60065497926067,0.6904715415114199,Oct,7,1,2,1,Other,False,True
22,224.8443530492918,1,276.1682106301049,618,7725.624327142077,0.15013122300007836,0.030142897295862992,36.08068247969278,0.786830353208203,June,1,8,5,17,New_Visitor,True,True
10,2.345891154864521,2,13.199709167493168,405,7253.068528138523,0.1968230725501911,0.17063312486495805,300.53928890553567,0.11088415106937233,Oct,4,6,2,7,Returning_Visitor,False,True
10,31.403947381443942,6,220.42154272952607,639,3865.9541273192026,0.1091888285932044,0.1165833116735679,170.73383576496008,0.3617575686478205,Jul,4,12,3,16,Other,False,True
23,352.50322710520464,22,13.9264156340262,543,4388.357071871984,0.0808128208414209,0.07630518021629061,378.15030097265554,0.16820648005352756,Aug,1,4,2,3,New_Visitor,True,True
20,31.151595636516305,13,251.37001525829635,680,6708.981999297696,0.12790486491559774,0.10117461678437845,373.38346965465007,0.7725253977842317,Jul,4,9,7,16,Returning_Visitor,True,True
3,282.72143848420205,11,271.6244440008306,287,5190.706876754048,0.12531525645608607,0.019482395372066044,389.6350650995679,0.5666836498933194,May,4,8,6,16,Returning_Visitor,False,True
7,368.01526564362103,18,89.2257372687297,425,5861.263335290649,0.19746843734627917,0.17997477172723364,309.93747544935195,0.9895079525258614,June,4,4,3,1,Other,False,True
23,108.27344172069245,17,22.18069305500927,435,6329.134955371683,0.14153877890170607,0.05810939995144615,245.1477750208356,0.6786372878019707,Jan,5,4,6,5,New_Visitor,False,False
2,148.1965748238057,14,144.20536090422857,80,3864.2300587347772,0.06131609218855727,0.03492081530725535,306.779661752372,0.07642114579186698,Mar,5,13,3,6,New_Visitor,False,False
21,227.5685623378865,0,89.53891102364304,487,7798.3431290597655,0.03750197126287389,0.0851914660404082,110.09707490015836,0.2881048484715828,Aug,3,4,7,17,Returning_Visitor,True,True
20,352.68358785543387,24,125.1408428431137,181,5026.919771075522,0.15854523641412036,0.05623465678183159,0.8798577058729773,0.9254162556616115,Mar,1,1,4,13,Other,True,True
1,376.76223490416805,2,199.49563604660406,357,5067.882013393187,0.03595191730327414,0.06152886267934215,184.39877168329616,0.9813573337203377,Mar,2,11,7,18,New_Visitor,True,True
23,295.8252992445072,24,62.947810784615086,254,1128.3610913091718,0.12548851448452003,0.16489327556679853,255.87831607846053,0.22340910078565845,Jul,7,3,4,19,Other,True,False
11,34.64790434187761,14,107.0854708542259,165,7901.897697084727,0.026463249365424702,0.10940299826889728,335.56929274822016,0.49403889565893055,Dec,8,9,9,3,Returning_Visitor,True,True
29,267.6616622139403,3,234.7687470878021,464,566.204278453772,0.1437410839328805,0.18635383640192793,20.312232759066127,0.37001259356181926,Aug,8,11,5,16,Other,False,True
5,164.12148874906484,14,193.1285849858465,255,7885.090806793828,0.15657895870173819,0.190072818023797,18.293742001842837,0.20966367704337696,May,8,12,8,17,Returning_Visitor,True,False
1,188.28039979642463,9,97.8826473453716,422,7284.524681823116,0.19810798106850833,0.19830968863569465,374.68586817352787,0.36812414468598587,Jul,1,3,8,17,Other,False,True
27,19.659356138070816,5,199.29048007797857,197,6851.362173483331,0.19084339875029754,0.02630562957100571,80.52041779345251,0.4281973777714587,Jul,6,6,7,4,Returning_Visitor,False,False
20,76.42485573854327,12,229.59387686758998,212,5388.789554050177,0.14276140224131836,0.17937024266074691,275.3081001038468,0.6668031728875594,Aug,4,5,4,9,Returning_Visitor,False,True
0,316.2054430134591,6,177.74567428583623,556,4870.864714194685,0.055506000875080445,0.0589209098172318,58.7653202859348,0.502612280579324,Feb,4,9,9,3,Other,False,True
11,181.5835332191439,21,71.84904975030256,524,7972.960140105533,0.008743625029671676,0.1258503774379515,360.4640860904528,0.8300374406821025,Dec,1,2,5,17,Other,True,True
25,120.66489665245955,0,0.07358715359792045,51,7791.9798896841485,0.11104830270279753,0.1755660787204919,299.2112250571346,0.9422973782373882,May,4,4,1,3,Returning_Visitor,False,True
21,153.60762958598326,21,240.8547320964844,264,6494.664669078887,0.15319608248363645,0.018575068598376633,21.784108530307165,0.3826726794827243,Mar,3,3,4,12,Returning_Visitor,True,True
28,341.75980533027206,10,246.79006659484932,324,694.8918079796487,0.002124750541651821,0.03037011365805682,108.88094756312276,0.5011303159609346,Mar,2,10,4,7,New_Visitor,False,False
